Country,Country_Code,Year,GDP_Per_Capita_USD,Growth_Rate_Pct,Percentage_Share,Region
United States,US,2003,49993.12,2.4,27.0,North America
United States,US,2004,50291.36,0.6,26.97,North America
United States,US,2005,50591.33,0.6,26.89,North America
United States,US,2006,50690.98,0.2,26.54,North America
United States,US,2007,52462.13,3.49,26.97,North America
United States,US,2008,53727.8,2.41,27.15,North America
United States,US,2009,50837.79,-5.38,27.42,North America
United States,US,2010,50860.15,0.04,27.07,North America
United States,US,2011,52852.47,3.92,27.62,North America
United States,US,2012,54626.39,3.36,28.06,North America
United States,US,2013,55077.79,0.83,27.99,North America
United States,US,2014,55464.35,0.7,27.76,North America
United States,US,2015,55857.2,0.71,27.57,North America
United States,US,2016,56528.22,1.2,27.37,North America
United States,US,2017,57715.88,2.1,27.33,North America
United States,US,2018,58709.94,1.72,27.38,North America
United States,US,2019,59384.05,1.15,27.04,North America
United States,US,2020,58409.03,-1.64,27.06,North America
United States,US,2021,58718.09,0.53,26.83,North America
United States,US,2022,59394.5,1.15,26.59,North America
United States,US,2023,60258.54,1.45,26.59,North America
